seed,dimension,relation,control,relation_or_control,shell,panel,method,standardized_rmse,ndcg_at_top,spearman,pairwise_accuracy,precision_at_top,normalized_top1_regret,mean_negative_log_likelihood,interval_coverage_95,n_test,effective_mode,prior_names,prior_coefficients,source_data_hash,source_query_transform,source_context_query_hash,source_test_query_hash,target_context_design_hash,target_test_design_hash,target_test_truth_hash,srmse_delta_vs_target_only,negative_transfer
11,2,identity,none,identity,0.35,test,Target-Only,0.5840298250022368,0.9279942052699574,0.8963502563633032,0.859375,0.46153846153846156,0.008472665198335097,-2.2203579716664863,1.0,128,target_only,none,[],a7b6a7b5e94873c180b1d57754fc716642e2171b727474b55825b5ac16430179,identity,682cac9509a7b65baf715e5aea285ff723c19bb51ed7e8c219527cd44c615dd1,a6ce4f7ce317c872feacba9db9212f33068858423372698129528317559e2d1d,682cac9509a7b65baf715e5aea285ff723c19bb51ed7e8c219527cd44c615dd1,a6ce4f7ce317c872feacba9db9212f33068858423372698129528317559e2d1d,1946cd5a4b2aac227647192282144c67350fb74f45b3710b1a58e267f515bda0,0.0,False
11,2,identity,none,identity,0.35,test,Geometry-Prior+Residual,0.650495393599426,0.8912542441581371,0.9038809284013917,0.8644192913385826,0.46153846153846156,0.06048269965976218,-2.089344002813716,0.78125,128,calibrated,geometry,[0.20096052647719906],a7b6a7b5e94873c180b1d57754fc716642e2171b727474b55825b5ac16430179,identity,682cac9509a7b65baf715e5aea285ff723c19bb51ed7e8c219527cd44c615dd1,a6ce4f7ce317c872feacba9db9212f33068858423372698129528317559e2d1d,682cac9509a7b65baf715e5aea285ff723c19bb51ed7e8c219527cd44c615dd1,a6ce4f7ce317c872feacba9db9212f33068858423372698129528317559e2d1d,1946cd5a4b2aac227647192282144c67350fb74f45b3710b1a58e267f515bda0,0.06646556859718922,True
11,2,identity,none,identity,0.35,test,Oracle-Rank+Residual,0.4547905263100251,0.9453200275628969,0.8661760666544588,0.8454724409448819,0.5384615384615384,0.009876674241225762,-0.2516366258888037,0.3359375,128,calibrated,oracle_rank,[0.2534611955624387],a7b6a7b5e94873c180b1d57754fc716642e2171b727474b55825b5ac16430179,identity,682cac9509a7b65baf715e5aea285ff723c19bb51ed7e8c219527cd44c615dd1,a6ce4f7ce317c872feacba9db9212f33068858423372698129528317559e2d1d,682cac9509a7b65baf715e5aea285ff723c19bb51ed7e8c219527cd44c615dd1,a6ce4f7ce317c872feacba9db9212f33068858423372698129528317559e2d1d,1946cd5a4b2aac227647192282144c67350fb74f45b3710b1a58e267f515bda0,-0.12923929869221168,False
11,2,identity,none,identity,0.35,test,Oracle-Value+Residual,0.06677008225719044,0.996255229029005,0.9560062259659402,0.9357775590551181,0.9230769230769231,0.0,-4.456467326372945,1.0,128,calibrated,oracle_value,[0.26025067055528955],a7b6a7b5e94873c180b1d57754fc716642e2171b727474b55825b5ac16430179,identity,682cac9509a7b65baf715e5aea285ff723c19bb51ed7e8c219527cd44c615dd1,a6ce4f7ce317c872feacba9db9212f33068858423372698129528317559e2d1d,682cac9509a7b65baf715e5aea285ff723c19bb51ed7e8c219527cd44c615dd1,a6ce4f7ce317c872feacba9db9212f33068858423372698129528317559e2d1d,1946cd5a4b2aac227647192282144c67350fb74f45b3710b1a58e267f515bda0,-0.5172597427450463,False
11,2,identity,none,identity,0.35,test,Oracle-Rank+Value+Residual,0.19290327708412644,0.9874307741905016,0.9206647134224502,0.8973917322834646,0.8461538461538461,0.0,-0.7054565771053803,0.40625,128,calibrated,oracle_rank|oracle_value,"[0.10210893219693937, 0.1685725053071591]",a7b6a7b5e94873c180b1d57754fc716642e2171b727474b55825b5ac16430179,identity,682cac9509a7b65baf715e5aea285ff723c19bb51ed7e8c219527cd44c615dd1,a6ce4f7ce317c872feacba9db9212f33068858423372698129528317559e2d1d,682cac9509a7b65baf715e5aea285ff723c19bb51ed7e8c219527cd44c615dd1,a6ce4f7ce317c872feacba9db9212f33068858423372698129528317559e2d1d,1946cd5a4b2aac227647192282144c67350fb74f45b3710b1a58e267f515bda0,-0.3911265479181103,False
11,2,identity,none,identity,0.7,test,Target-Only,1.2619483475925801,0.8611096820359903,0.7520371726789965,0.7662401574803149,0.38461538461538464,0.14589374374637054,-0.9648859941995994,0.9140625,128,target_only,none,[],a7b6a7b5e94873c180b1d57754fc716642e2171b727474b55825b5ac16430179,identity,682cac9509a7b65baf715e5aea285ff723c19bb51ed7e8c219527cd44c615dd1,a5562d7b09c8bbeeade4336821b21b69107285dc6cd70389b2ad4dbf9d8dd130,682cac9509a7b65baf715e5aea285ff723c19bb51ed7e8c219527cd44c615dd1,a5562d7b09c8bbeeade4336821b21b69107285dc6cd70389b2ad4dbf9d8dd130,859a3e95a7be59c235dab59079f8d71445a281e3ca57da5f4ad68691bec3b52b,0.0,False
11,2,identity,none,identity,0.7,test,Geometry-Prior+Residual,0.9768705568933557,0.9246168611975488,0.8035158395898188,0.7952755905511811,0.5384615384615384,0.0622331979600484,-0.7727004225681922,0.7265625,128,calibrated,geometry,[0.20096052647719906],a7b6a7b5e94873c180b1d57754fc716642e2171b727474b55825b5ac16430179,identity,682cac9509a7b65baf715e5aea285ff723c19bb51ed7e8c219527cd44c615dd1,a5562d7b09c8bbeeade4336821b21b69107285dc6cd70389b2ad4dbf9d8dd130,682cac9509a7b65baf715e5aea285ff723c19bb51ed7e8c219527cd44c615dd1,a5562d7b09c8bbeeade4336821b21b69107285dc6cd70389b2ad4dbf9d8dd130,859a3e95a7be59c235dab59079f8d71445a281e3ca57da5f4ad68691bec3b52b,-0.28507779069922445,False
11,2,identity,none,identity,0.7,test,Oracle-Rank+Residual,0.7058239915123866,0.9877263600991442,0.7117915674784837,0.7709153543307087,0.9230769230769231,0.01615078123536326,0.2348934996491357,0.5234375,128,calibrated,oracle_rank,[0.2534611955624387],a7b6a7b5e94873c180b1d57754fc716642e2171b727474b55825b5ac16430179,identity,682cac9509a7b65baf715e5aea285ff723c19bb51ed7e8c219527cd44c615dd1,a5562d7b09c8bbeeade4336821b21b69107285dc6cd70389b2ad4dbf9d8dd130,682cac9509a7b65baf715e5aea285ff723c19bb51ed7e8c219527cd44c615dd1,a5562d7b09c8bbeeade4336821b21b69107285dc6cd70389b2ad4dbf9d8dd130,859a3e95a7be59c235dab59079f8d71445a281e3ca57da5f4ad68691bec3b52b,-0.5561243560801935,False
11,2,identity,none,identity,0.7,test,Oracle-Value+Residual,0.11191131835067546,0.9990512577407115,0.9097063266800953,0.8853346456692913,1.0,0.0,-3.3376319165637183,0.859375,128,calibrated,oracle_value,[0.26025067055528955],a7b6a7b5e94873c180b1d57754fc716642e2171b727474b55825b5ac16430179,identity,682cac9509a7b65baf715e5aea285ff723c19bb51ed7e8c219527cd44c615dd1,a5562d7b09c8bbeeade4336821b21b69107285dc6cd70389b2ad4dbf9d8dd130,682cac9509a7b65baf715e5aea285ff723c19bb51ed7e8c219527cd44c615dd1,a5562d7b09c8bbeeade4336821b21b69107285dc6cd70389b2ad4dbf9d8dd130,859a3e95a7be59c235dab59079f8d71445a281e3ca57da5f4ad68691bec3b52b,-1.1500370292419047,False
11,2,identity,none,identity,0.7,test,Oracle-Rank+Value+Residual,0.29144106078522336,0.9982343249425578,0.7992812671671855,0.8217273622047244,1.0,0.0,-0.4504343639126086,0.546875,128,calibrated,oracle_rank|oracle_value,"[0.10210893219693937, 0.1685725053071591]",a7b6a7b5e94873c180b1d57754fc716642e2171b727474b55825b5ac16430179,identity,682cac9509a7b65baf715e5aea285ff723c19bb51ed7e8c219527cd44c615dd1,a5562d7b09c8bbeeade4336821b21b69107285dc6cd70389b2ad4dbf9d8dd130,682cac9509a7b65baf715e5aea285ff723c19bb51ed7e8c219527cd44c615dd1,a5562d7b09c8bbeeade4336821b21b69107285dc6cd70389b2ad4dbf9d8dd130,859a3e95a7be59c235dab59079f8d71445a281e3ca57da5f4ad68691bec3b52b,-0.9705072868073568,False
